»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2017-12-29,'600599,–‹√®Ωøÿ,21.11,21.24,21.1,21.13,21.13,-0.02,-0.0947,0.5613,931829,19693693.0,3504260000.0,3504260000.0,None
2017-12-28,'600599,–‹√®Ωøÿ,21.13,21.19,21.02,21.16,21.13,0.0,0.0,0.7607,1262700,26723034.0,3507580000.0,3507580000.0,None
2017-12-27,'600599,–‹√®Ωøÿ,21.13,21.22,21.01,21.19,21.1,0.03,0.1422,0.6195,1028410,21728106.0,3507580000.0,3507580000.0,None
2017-12-26,'600599,–‹√®Ωøÿ,21.1,21.28,20.96,21.25,21.26,-0.16,-0.7526,0.6024,999912,21117499.0,3502600000.0,3502600000.0,None
2017-12-25,'600599,–‹√®Ωøÿ,21.26,21.35,21.0,21.12,21.14,0.12,0.5676,0.5461,906501,19247214.0,3529160000.0,3529160000.0,None
2017-12-22,'600599,–‹√®Ωøÿ,21.14,21.24,20.88,20.9,21.06,0.08,0.3799,0.3587,595500,12574324.0,3509240000.0,3509240000.0,None
2017-12-21,'600599,–‹√®Ωøÿ,21.06,21.2,20.83,21.02,21.12,-0.06,-0.2841,0.4127,685001,14430466.0,3495960000.0,3495960000.0,None
2017-12-20,'600599,–‹√®Ωøÿ,21.12,21.25,21.1,21.11,21.17,-0.05,-0.2362,0.2941,488200,10319921.0,3505920000.0,3505920000.0,None
2017-12-19,'600599,–‹√®Ωøÿ,21.17,21.25,21.08,21.25,21.24,-0.07,-0.3296,0.3201,531401,11257121.0,3514220000.0,3514220000.0,None
2017-12-18,'600599,–‹√®Ωøÿ,21.24,21.27,20.93,21.2,21.11,0.13,0.6158,0.4234,702806,14815976.0,3525840000.0,3525840000.0,None
2017-12-15,'600599,–‹√®Ωøÿ,21.11,21.21,20.83,21.06,21.0,0.11,0.5238,0.5285,877277,18474162.0,3504260000.0,3504260000.0,None
2017-12-14,'600599,–‹√®Ωøÿ,21.0,21.09,20.53,20.53,20.68,0.32,1.5474,1.2594,2090617,43882362.0,3486000000.0,3486000000.0,None
2017-12-13,'600599,–‹√®Ωøÿ,20.68,20.74,20.58,20.74,20.69,-0.01,-0.0483,0.3928,652100,13468738.0,3432880000.0,3432880000.0,None
2017-12-12,'600599,–‹√®Ωøÿ,20.69,20.85,20.45,20.85,20.92,-0.23,-1.0994,0.694,1152101,23791671.0,3434540000.0,3434540000.0,None
2017-12-11,'600599,–‹√®Ωøÿ,20.92,21.1,20.5,21.08,21.08,-0.16,-0.759,0.8026,1332340,27649822.0,3472720000.0,3472720000.0,None
2017-12-08,'600599,–‹√®Ωøÿ,21.08,21.28,20.91,21.28,21.12,-0.04,-0.1894,0.3182,528262,11186359.0,3499280000.0,3499280000.0,None
2017-12-07,'600599,–‹√®Ωøÿ,21.12,21.21,20.78,21.12,21.13,-0.01,-0.0473,0.3661,607750,12746945.0,3505920000.0,3505920000.0,None
2017-12-06,'600599,–‹√®Ωøÿ,21.13,21.32,20.2,21.0,21.13,0.0,0.0,0.9724,1614200,33517169.0,3507580000.0,3507580000.0,None
