ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2017-12-29,'601018,Äþ²¨¸Û,5.31,5.33,5.22,5.24,5.24,0.07,1.3359,0.1077,13781805,72855743.0,69947821865.8,67968000000.0,None
2017-12-28,'601018,Äþ²¨¸Û,5.24,5.27,5.21,5.24,5.23,0.01,0.1912,0.0992,12693348,66558279.0,69025722519.2,67072000000.0,None
2017-12-27,'601018,Äþ²¨¸Û,5.23,5.32,5.19,5.32,5.28,-0.05,-0.947,0.1146,14664402,76818156.0,68893994041.1,66944000000.0,None
2017-12-26,'601018,Äþ²¨¸Û,5.28,5.38,5.21,5.21,5.25,0.03,0.5714,0.0973,12454720,65944716.0,69552636431.5,67584000000.0,None
2017-12-25,'601018,Äþ²¨¸Û,5.25,5.39,5.17,5.38,5.38,-0.13,-2.4164,0.2518,32231156,169229156.0,69157450997.2,67200000000.0,None
2017-12-22,'601018,Äþ²¨¸Û,5.38,5.46,5.38,5.46,5.47,-0.09,-1.6453,0.1354,17330248,93825626.0,70869921212.4,68864000000.0,None
2017-12-21,'601018,Äþ²¨¸Û,5.47,5.53,5.45,5.52,5.55,-0.08,-1.4414,0.1249,15985600,87707091.0,72055477515.2,70016000000.0,None
2017-12-20,'601018,Äþ²¨¸Û,5.55,5.56,5.43,5.56,5.54,0.01,0.1805,0.1758,22502211,123914687.0,73109305339.9,71040000000.0,None
2017-12-19,'601018,Äþ²¨¸Û,5.54,5.58,5.53,5.57,5.58,-0.04,-0.7168,0.0898,11495550,63876884.0,72977576861.9,70912000000.0,None
2017-12-18,'601018,Äþ²¨¸Û,5.58,5.58,5.52,5.55,5.57,0.01,0.1795,0.092,11781700,65402172.0,73504490774.2,71424000000.0,None
2017-12-15,'601018,Äþ²¨¸Û,5.57,5.64,5.54,5.63,5.65,-0.08,-1.4159,0.1347,17239031,96191843.0,73372762296.1,71296000000.0,None
2017-12-14,'601018,Äþ²¨¸Û,5.65,5.71,5.63,5.67,5.69,-0.04,-0.703,0.1068,13667479,77326705.0,74426590120.9,72320000000.0,None
2017-12-13,'601018,Äþ²¨¸Û,5.69,5.74,5.66,5.71,5.69,0.0,0.0,0.0715,9158133,52118330.0,74953504033.2,72832000000.0,None
2017-12-12,'601018,Äþ²¨¸Û,5.69,5.75,5.68,5.73,5.75,-0.06,-1.0435,0.1139,14573670,83178086.0,74953504033.2,72832000000.0,None
2017-12-11,'601018,Äþ²¨¸Û,5.75,5.8,5.72,5.77,5.74,0.01,0.1742,0.1377,17623529,101352333.0,75743874901.8,73600000000.0,None
2017-12-08,'601018,Äþ²¨¸Û,5.74,5.78,5.72,5.76,5.79,-0.05,-0.8636,0.1204,15416956,88596872.0,75612146423.7,73472000000.0,None
2017-12-07,'601018,Äþ²¨¸Û,5.79,5.81,5.73,5.8,5.81,-0.02,-0.3442,0.1371,17553660,101203081.0,76270788814.1,74112000000.0,None
2017-12-06,'601018,Äþ²¨¸Û,5.81,5.87,5.77,5.83,5.86,-0.05,-0.8532,0.183,23417601,136051493.0,76534245770.3,74368000000.0,None
