хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣,Ёи╫╩╠ййЩ
2017-12-29,'900948,рал╘ёб╧и,1.441,1.458,1.437,1.443,1.439,0.002,0.139,0.2416,3209109,4636517.0,30639021189.3,12504158761.6,None
2017-12-28,'900948,рал╘ёб╧и,1.439,1.442,1.409,1.413,1.413,0.026,1.8401,0.4652,6178382,8846330.0,30629274136.7,12500180870.4,None
2017-12-27,'900948,рал╘ёб╧и,1.413,1.426,1.385,1.392,1.388,0.025,1.8012,0.457,6068602,8576414.0,30079999382.1,12276015134.4,None
2017-12-26,'900948,рал╘ёб╧и,1.388,1.392,1.377,1.386,1.385,0.003,0.2166,0.0754,1001872,1386727.0,29545540121.4,12057895782.4,None
2017-12-25,'900948,рал╘ёб╧и,1.385,1.395,1.377,1.377,1.384,0.001,0.0723,0.1205,1600258,2222988.0,29602012436.7,12080942824.0,None
2017-12-22,'900948,рал╘ёб╧и,1.384,1.388,1.377,1.383,1.381,0.003,0.2172,0.0784,1041356,1441488.0,29642788073.0,12097583859.2,None
2017-12-21,'900948,рал╘ёб╧и,1.381,1.385,1.368,1.375,1.374,0.007,0.5095,0.114,1513324,2087024.0,29566849637.0,12066592456.0,None
2017-12-20,'900948,рал╘ёб╧и,1.374,1.389,1.371,1.389,1.389,-0.015,-1.0799,0.1236,1641128,2264932.0,29538145715.9,12054878035.2,None
2017-12-19,'900948,рал╘ёб╧и,1.389,1.391,1.377,1.386,1.383,0.006,0.4338,0.1291,1714810,2372132.0,29875077965.9,12192384201.6,None
2017-12-18,'900948,рал╘ёб╧и,1.383,1.387,1.359,1.36,1.357,0.026,1.916,0.3153,4187568,5777233.0,29774829819.8,12151471708.8,None
2017-12-15,'900948,рал╘ёб╧и,1.357,1.363,1.343,1.345,1.347,0.01,0.7424,0.2423,3217707,4356177.0,29193434762.1,11914197284.8,None
2017-12-14,'900948,рал╘ёб╧и,1.347,1.357,1.34,1.347,1.355,-0.008,-0.5904,0.098,1301222,1753591.0,28943237417.9,11812088692.8,None
2017-12-13,'900948,рал╘ёб╧и,1.355,1.358,1.341,1.355,1.355,0.0,0.0,0.1118,1484478,2002337.0,29211255006.1,11921469944.0,None
2017-12-12,'900948,рал╘ёб╧и,1.355,1.367,1.348,1.365,1.365,-0.01,-0.7326,0.172,2284739,3090657.0,29172013308.7,11905454928.0,None
2017-12-11,'900948,рал╘ёб╧и,1.365,1.367,1.357,1.359,1.353,0.012,0.8869,0.1731,2298771,3128815.0,29382863200.2,11991505344.0,None
2017-12-08,'900948,рал╘ёб╧и,1.353,1.36,1.335,1.339,1.341,0.012,0.8949,0.1761,2338931,3163352.0,29153609946.7,11897944291.2,None
2017-12-07,'900948,рал╘ёб╧и,1.341,1.365,1.335,1.357,1.367,-0.026,-1.902,0.2417,3210361,4318274.0,28885005010.2,11788323336.0,None
