日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-02-01,'600512,腾达建设,3.96,4.36,3.96,4.34,4.4,-0.44,-10.0,3.4421,51293800,206531583.0,6331655214.72,5901063866.28,None
2018-01-31,'600512,腾达建设,4.4,4.51,4.32,4.51,4.52,-0.12,-2.6549,0.8528,12708700,55883901.0,7035172460.8,6556737629.2,None
2018-01-30,'600512,腾达建设,4.52,4.56,4.47,4.53,4.52,0.0,0.0,0.6146,9158600,41189302.0,7227040800.64,6735557746.36,None
2018-01-29,'600512,腾达建设,4.52,4.54,4.42,4.46,4.48,0.04,0.8929,0.8336,12422703,55730166.0,7227040800.64,6735557746.36,None
2018-01-26,'600512,腾达建设,4.48,4.49,4.44,4.45,4.48,0.0,0.0,0.6329,9431500,42101705.0,7163084687.36,6675951040.64,None
2018-01-25,'600512,腾达建设,4.48,4.54,4.45,4.54,4.52,-0.04,-0.885,0.5521,8226574,36860067.0,7163084687.36,6675951040.64,None
2018-01-24,'600512,腾达建设,4.52,4.55,4.44,4.55,4.54,-0.02,-0.4405,1.3647,20336981,91206957.0,7227040800.64,6735557746.36,None
2018-01-23,'600512,腾达建设,4.54,4.6,4.46,4.59,4.59,-0.05,-1.0893,1.0304,15355401,69173921.0,7259018857.28,6765361099.22,None
2018-01-22,'600512,腾达建设,4.59,4.72,4.58,4.7,4.69,-0.1,-2.1322,0.6524,9721200,44793686.0,7338963998.88,6839869481.37,None
2018-01-19,'600512,腾达建设,4.69,4.74,4.62,4.66,4.66,0.03,0.6438,0.6151,9166400,42955809.0,7498854282.08,6988886245.67,None
2018-01-18,'600512,腾达建设,4.66,4.66,4.61,4.65,4.65,0.01,0.2151,0.5669,8447792,39167278.0,7450887197.12,6944181216.38,None
2018-01-17,'600512,腾达建设,4.65,4.7,4.6,4.67,4.67,-0.02,-0.4283,0.7585,11303400,52432796.0,7434898168.8,6929279539.95,None
2018-01-16,'600512,腾达建设,4.67,4.72,4.6,4.64,4.65,0.02,0.4301,1.0097,15045601,69870868.0,7466876225.44,6959082892.81,None
2018-01-15,'600512,腾达建设,4.65,4.69,4.57,4.68,4.7,-0.05,-1.0638,0.8137,12126000,56165337.0,7434898168.8,6929279539.95,None
2018-01-12,'600512,腾达建设,4.7,4.79,4.65,4.78,4.78,-0.08,-1.6736,0.6548,9757594,45952464.0,7514843310.4,7003787922.1,None
2018-01-11,'600512,腾达建设,4.78,4.81,4.68,4.7,4.72,0.06,1.2712,0.9228,13751454,65266247.0,7642755536.96,7123001333.54,None
2018-01-10,'600512,腾达建设,4.72,4.75,4.68,4.75,4.74,-0.02,-0.4219,0.6882,10255958,48220557.0,7546821367.04,7033591274.96,None
2018-01-09,'600512,腾达建设,4.74,4.76,4.62,4.66,4.65,0.09,1.9355,1.337,19923700,93178079.0,7578799423.68,7063394627.82,None
2018-01-08,'600512,腾达建设,4.65,4.68,4.6,4.68,4.69,-0.04,-0.8529,1.0712,15963200,73843025.0,7434898168.8,6929279539.95,None
2018-01-05,'600512,腾达建设,4.69,4.69,4.63,4.67,4.65,0.04,0.8602,0.493,7346970,34255983.0,7498854282.08,6988886245.67,None
2018-01-04,'600512,腾达建设,4.65,4.72,4.62,4.7,4.6,0.05,1.087,0.8926,13300900,61909891.0,7434898168.8,6929279539.95,None
2018-01-03,'600512,腾达建设,4.6,4.62,4.49,4.5,4.54,0.06,1.3216,1.2498,18623857,84806472.0,7354953027.2,6854771157.8,None
2018-01-02,'600512,腾达建设,4.54,4.55,4.36,4.42,4.44,0.1,2.2523,1.2899,19222017,85563511.0,7259018857.28,6765361099.22,None
