�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉,傖蝠捩杅
2018-02-01,'600876,醫栠產薛,0.0,0.0,0.0,0.0,20.49,None,None,0.0,0,0.0,10793453268.8,5363603268.75,None
2018-01-31,'600876,醫栠產薛,0.0,0.0,0.0,0.0,20.49,None,None,0.0,0,0.0,10793453268.8,5363603268.75,None
2018-01-30,'600876,醫栠產薛,0.0,0.0,0.0,0.0,20.49,None,None,0.0,0,0.0,10793453268.8,5363603268.75,None
2018-01-29,'600876,醫栠產薛,0.0,0.0,0.0,0.0,20.49,None,None,0.0,0,0.0,10793453268.8,5363603268.75,None
2018-01-26,'600876,醫栠產薛,0.0,0.0,0.0,0.0,20.49,None,None,0.0,0,0.0,10793453268.8,5363603268.75,None
2018-01-25,'600876,醫栠產薛,0.0,0.0,0.0,0.0,20.49,None,None,0.0,0,0.0,10793453268.8,5363603268.75,None
2018-01-24,'600876,醫栠產薛,20.49,20.78,20.2,20.6,20.41,0.08,0.392,2.7475,7192142,146975595.0,10793453268.8,5363603268.75,None
2018-01-23,'600876,醫栠產薛,20.41,20.83,19.65,19.8,19.62,0.79,4.0265,3.0963,8105195,164474412.0,10751311918.8,5342661918.75,None
2018-01-22,'600876,醫栠產薛,19.62,19.86,19.27,19.67,19.85,-0.23,-1.1587,1.1875,3108430,60777882.0,10335166087.5,5135866087.5,None
2018-01-19,'600876,醫栠產薛,19.85,20.37,19.82,20.08,20.1,-0.25,-1.2438,1.505,3939651,79186949.0,10456322468.8,5196072468.75,None
2018-01-18,'600876,醫栠產薛,20.1,20.29,19.63,19.98,19.76,0.34,1.7206,1.9217,5030416,100718395.0,10588014187.5,5261514187.5,None
2018-01-17,'600876,醫栠產薛,19.76,20.09,19.3,20.0,19.89,-0.13,-0.6536,1.6094,4212825,83208422.0,10408913450.0,5172513450.0,None
2018-01-16,'600876,醫栠產薛,19.89,20.13,19.4,19.78,19.81,0.08,0.4038,1.2922,3382639,67091301.0,10477393143.8,5206543143.75,None
2018-01-15,'600876,醫栠產薛,19.81,20.61,19.79,20.61,20.64,-0.83,-4.0213,1.9209,5028269,101128856.0,10435251793.8,5185601793.75,None
2018-01-12,'600876,醫栠產薛,20.64,20.95,19.95,20.24,20.24,0.4,1.9763,2.4879,6512548,133743482.0,10872468300.0,5402868300.0,None
2018-01-11,'600876,醫栠產薛,20.24,20.26,19.85,20.11,20.17,0.07,0.3471,1.6476,4312827,86561445.0,10661761550.0,5298161550.0,None
2018-01-10,'600876,醫栠產薛,20.17,20.76,19.85,20.27,20.51,-0.34,-1.6577,2.0522,5372000,108767238.0,10624887868.8,5279837868.75,None
2018-01-09,'600876,醫栠產薛,20.51,21.06,20.42,21.03,20.85,-0.34,-1.6307,2.5794,6752056,139797236.0,10803988606.2,5368838606.25,None
2018-01-08,'600876,醫栠產薛,20.85,21.28,20.6,20.7,21.16,-0.31,-1.465,2.8054,7343478,153291498.0,10983089343.8,5457839343.75,None
2018-01-05,'600876,醫栠產薛,21.16,22.18,20.6,20.6,20.95,0.21,1.0024,4.2847,11215948,239308870.0,11146387075.0,5538987075.0,None
2018-01-04,'600876,醫栠產薛,20.95,21.38,20.28,20.52,20.52,0.43,2.0955,4.5014,11783213,247258394.0,11035766031.2,5484016031.25,None
2018-01-03,'600876,醫栠產薛,20.52,20.86,20.07,20.23,20.48,0.04,0.1953,3.155,8258692,169267669.0,10809256275.0,5371456275.0,None
2018-01-02,'600876,醫栠產薛,20.48,21.05,20.02,20.09,20.16,0.32,1.5873,3.1782,8319459,170777427.0,10788185600.0,5360985600.0,None
