日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-02-01,'000801,资源80,3561.428,3669.4581,3554.2966,3633.2119,3640.8207,-79.3927,-2.1806,,39843098,45966946491.0,,,None
2018-01-31,'000801,资源80,3640.8207,3665.3759,3613.0394,3644.8445,3681.249,-40.4283,-1.0982,,33427506,39092744549.0,,,None
2018-01-30,'000801,资源80,3681.249,3726.7939,3671.7883,3673.9696,3693.9667,-12.7177,-0.3443,,35037993,45247934985.0,,,None
2018-01-29,'000801,资源80,3693.9667,3731.3245,3681.925,3688.4385,3675.002,18.9647,0.516,,40540338,46676420851.0,,,None
2018-01-26,'000801,资源80,3675.002,3685.9854,3659.5645,3668.267,3695.7908,-20.7888,-0.5625,,28633803,34277646436.0,,,None
2018-01-25,'000801,资源80,3695.7908,3721.2849,3687.1469,3687.1469,3662.001,33.7898,0.9227,,42659724,46412673840.0,,,None
2018-01-24,'000801,资源80,3662.001,3663.5631,3626.2027,3663.5631,3666.3521,-4.3511,-0.1187,,34790327,38493766199.0,,,None
2018-01-23,'000801,资源80,3666.3521,3666.5093,3632.6186,3646.4842,3637.7501,28.602,0.7863,,35620823,41997279565.0,,,None
2018-01-22,'000801,资源80,3637.7501,3638.7953,3596.9839,3599.4931,3600.8546,36.8955,1.0246,,30257200,35140244917.0,,,None
2018-01-19,'000801,资源80,3600.8546,3613.7969,3573.9331,3584.441,3589.3066,11.548,0.3217,,30202856,35262340377.0,,,None
2018-01-18,'000801,资源80,3589.3066,3594.2761,3561.0351,3561.0351,3564.5959,24.7107,0.6932,,28311635,34059003714.0,,,None
2018-01-17,'000801,资源80,3564.5959,3584.5704,3527.653,3584.5704,3598.5671,-33.9712,-0.944,,35659838,42220071341.0,,,None
2018-01-16,'000801,资源80,3598.5671,3611.7736,3575.3896,3585.9451,3591.219,7.3481,0.2046,,33783290,40428668978.0,,,None
2018-01-15,'000801,资源80,3591.219,3674.2566,3573.5759,3672.9122,3666.8854,-75.6664,-2.0635,,39250627,49821960309.0,,,None
2018-01-12,'000801,资源80,3666.8854,3690.0509,3655.7944,3677.1166,3682.8959,-16.0105,-0.4347,,30184069,36527247857.0,,,None
2018-01-11,'000801,资源80,3682.8959,3707.6962,3661.0687,3693.4466,3691.5104,-8.6145,-0.2334,,33319040,40286429643.0,,,None
2018-01-10,'000801,资源80,3691.5104,3731.584,3663.5946,3718.718,3713.328,-21.8176,-0.5875,,39236847,49134982153.0,,,None
2018-01-09,'000801,资源80,3713.328,3736.2602,3697.4533,3723.7097,3726.8535,-13.5255,-0.3629,,35541526,44308685641.0,,,None
2018-01-08,'000801,资源80,3726.8535,3746.126,3657.2813,3658.5583,3663.8862,62.9673,1.7186,,49128303,58063561816.0,,,None
2018-01-05,'000801,资源80,3663.8862,3678.9946,3650.6511,3663.5143,3669.1958,-5.3096,-0.1447,,39629758,46554468482.0,,,None
2018-01-04,'000801,资源80,3669.1958,3670.3051,3605.573,3606.1854,3611.6536,57.5422,1.5932,,45394116,53292984370.0,,,None
2018-01-03,'000801,资源80,3611.6536,3634.8317,3581.8053,3582.822,3580.5884,31.0652,0.8676,,42591215,50732562025.0,,,None
2018-01-02,'000801,资源80,3580.5884,3581.2892,3513.1996,3518.5306,3504.2745,76.3139,2.1777,,42198962,43937170269.0,,,None
