ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2018-02-01,'000831,500µÍ±´,10456.4332,10752.5507,10419.3707,10731.7373,10735.9418,-279.5086,-2.6035,,24244740,29333908198.0,,,None
2018-01-31,'000831,500µÍ±´,10735.9418,10824.3109,10711.0851,10811.8417,10844.7013,-108.7595,-1.0029,,20318932,25434649116.0,,,None
2018-01-30,'000831,500µÍ±´,10844.7013,10870.3566,10816.3971,10817.4574,10833.7091,10.9922,0.1015,,19452117,24497763342.0,,,None
2018-01-29,'000831,500µÍ±´,10833.7091,10991.5854,10811.2524,10974.408,10975.5608,-141.8517,-1.2924,,21056521,29063219421.0,,,None
2018-01-26,'000831,500µÍ±´,10975.5608,11001.1704,10948.7191,10962.5704,10965.5273,10.0335,0.0915,,17933443,25844703867.0,,,None
2018-01-25,'000831,500µÍ±´,10965.5273,11039.0936,10959.8894,11021.0016,11036.6043,-71.077,-0.644,,19926533,27956460279.0,,,None
2018-01-24,'000831,500µÍ±´,11036.6043,11037.658,10969.4065,11012.021,11009.6882,26.9161,0.2445,,20165373,28738916291.0,,,None
2018-01-23,'000831,500µÍ±´,11009.6882,11014.8469,10962.1882,10971.4737,10978.6895,30.9987,0.2824,,18678891,26439635159.0,,,None
2018-01-22,'000831,500µÍ±´,10978.6895,10980.1221,10814.0468,10827.6794,10848.2205,130.469,1.2027,,20343909,26939525982.0,,,None
2018-01-19,'000831,500µÍ±´,10848.2205,10927.5214,10821.2683,10889.4847,10896.363,-48.1425,-0.4418,,20537920,28048204422.0,,,None
2018-01-18,'000831,500µÍ±´,10896.363,10917.5358,10848.4878,10865.1682,10872.1049,24.2581,0.2231,,19011622,26606550993.0,,,None
2018-01-17,'000831,500µÍ±´,10872.1049,10929.8654,10822.9677,10926.2413,10927.971,-55.8661,-0.5112,,24222482,33283936670.0,,,None
2018-01-16,'000831,500µÍ±´,10927.971,10932.22,10781.1429,10784.317,10791.3381,136.6329,1.2661,,23520877,32752291934.0,,,None
2018-01-15,'000831,500µÍ±´,10791.3381,10934.1189,10774.8402,10894.6167,10882.5111,-91.173,-0.8378,,22974615,31645571562.0,,,None
2018-01-12,'000831,500µÍ±´,10882.5111,10903.4442,10844.7517,10864.2216,10873.9675,8.5436,0.0786,,20168106,24155862983.0,,,None
2018-01-11,'000831,500µÍ±´,10873.9675,10882.3721,10827.761,10865.4449,10881.5438,-7.5763,-0.0696,,17484115,21656328010.0,,,None
2018-01-10,'000831,500µÍ±´,10881.5438,10932.0386,10821.1433,10927.4945,10929.8309,-48.2871,-0.4418,,19996905,25762301776.0,,,None
2018-01-09,'000831,500µÍ±´,10929.8309,10932.5393,10861.5255,10869.0291,10875.405,54.4259,0.5004,,21228979,27432966213.0,,,None
2018-01-08,'000831,500µÍ±´,10875.405,10876.922,10807.5056,10834.5481,10837.167,38.238,0.3528,,22895162,27752594229.0,,,None
2018-01-05,'000831,500µÍ±´,10837.167,10849.6655,10769.8553,10790.4679,10782.4325,54.7345,0.5076,,22384619,25878982362.0,,,None
2018-01-04,'000831,500µÍ±´,10782.4325,10784.3498,10702.8729,10711.5017,10724.4649,57.9676,0.5405,,18481544,26232356370.0,,,None
2018-01-03,'000831,500µÍ±´,10724.4649,10734.2118,10641.4511,10654.8751,10653.5129,70.952,0.666,,19243016,26834268972.0,,,None
2018-01-02,'000831,500µÍ±´,10653.5129,10655.8009,10577.6121,10577.6121,10566.7751,86.7378,0.8209,,18059303,24650954508.0,,,None
