日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2017-12-29,'600694,大商股份,33.73,33.8,33.4,33.48,33.59,0.14,0.4168,0.4608,1353330,45439138.0,9907130165.69,9907130165.69,None
2017-12-28,'600694,大商股份,33.59,33.75,33.26,33.26,33.32,0.27,0.8103,0.3703,1087708,36502277.0,9866009554.27,9866009554.27,None
2017-12-27,'600694,大商股份,33.32,33.8,33.22,33.5,33.67,-0.35,-1.0395,0.5095,1496544,50020455.0,9786705517.96,9786705517.96,None
2017-12-26,'600694,大商股份,33.67,33.75,32.78,33.26,33.06,0.61,1.8451,0.6095,1790227,59484953.0,9889507046.51,9889507046.51,None
2017-12-25,'600694,大商股份,33.06,35.25,33.01,35.03,35.0,-1.94,-5.5429,1.2705,3731781,126376141.0,9710338668.18,9710338668.18,None
2017-12-22,'600694,大商股份,35.0,35.46,34.82,35.2,35.32,-0.32,-0.906,0.3767,1106575,38772669.0,10280152855.0,10280152855.0,None
2017-12-21,'600694,大商股份,35.32,35.7,35.03,35.44,35.55,-0.23,-0.647,0.2553,749913,26497877.0,10374142824.0,10374142824.0,None
2017-12-20,'600694,大商股份,35.55,35.85,35.53,35.65,35.73,-0.18,-0.5038,0.289,848882,30307050.0,10441698114.1,10441698114.1,None
2017-12-19,'600694,大商股份,35.73,35.87,35.45,35.5,35.5,0.23,0.6479,0.2295,674205,24083929.0,10494567471.7,10494567471.7,None
2017-12-18,'600694,大商股份,35.5,36.3,35.35,36.26,36.16,-0.66,-1.8252,0.4636,1361779,48457882.0,10427012181.5,10427012181.5,None
2017-12-15,'600694,大商股份,36.16,36.7,35.77,36.11,36.13,0.03,0.083,0.6899,2026317,73591055.0,10620866492.5,10620866492.5,None
2017-12-14,'600694,大商股份,36.13,36.23,35.45,35.7,35.6,0.53,1.4888,0.4733,1390287,49877416.0,10612054932.9,10612054932.9,None
2017-12-13,'600694,大商股份,35.6,35.68,35.31,35.31,35.33,0.27,0.7642,0.1529,449236,15968141.0,10456384046.8,10456384046.8,None
2017-12-12,'600694,大商股份,35.33,35.99,35.31,35.46,35.56,-0.23,-0.6468,0.2989,877779,31323709.0,10377080010.5,10377080010.5,None
2017-12-11,'600694,大商股份,35.56,35.66,35.34,35.48,35.44,0.12,0.3386,0.246,722653,25663187.0,10444635300.7,10444635300.7,None
2017-12-08,'600694,大商股份,35.44,35.64,34.88,34.96,35.04,0.4,1.1416,0.3681,1081162,38158851.0,10409389062.3,10409389062.3,None
2017-12-07,'600694,大商股份,35.04,35.08,34.73,35.0,35.04,0.0,0.0,0.2377,698298,24384237.0,10291901601.1,10291901601.1,None
2017-12-06,'600694,大商股份,35.04,35.16,34.51,35.1,34.93,0.11,0.3149,0.2613,767470,26741726.0,10291901601.1,10291901601.1,None
2017-12-05,'600694,大商股份,34.93,35.6,34.81,35.59,35.5,-0.57,-1.6056,0.5442,1598397,56084407.0,10259592549.3,10259592549.3,None
2017-12-04,'600694,大商股份,35.5,36.33,35.44,36.33,36.36,-0.86,-2.3652,0.5385,1581800,56553037.0,10427012181.5,10427012181.5,None
2017-12-01,'600694,大商股份,36.36,36.71,36.31,36.58,36.59,-0.23,-0.6286,0.3943,1158174,42227604.0,10679610223.1,10679610223.1,None
2017-11-30,'600694,大商股份,36.59,36.79,36.41,36.71,36.76,-0.17,-0.4625,0.2359,692896,25370486.0,10747165513.3,10747165513.3,None
2017-11-29,'600694,大商股份,36.76,37.13,36.5,36.94,37.01,-0.25,-0.6755,0.4261,1251451,45880253.0,10797097684.3,10797097684.3,None
2017-11-28,'600694,大商股份,37.01,37.15,36.62,36.68,36.57,0.44,1.2032,0.3079,904480,33408933.0,10870527347.5,10870527347.5,None
2017-11-27,'600694,大商股份,36.57,36.88,36.28,36.47,36.62,-0.05,-0.1365,0.1923,564802,20675435.0,10741291140.2,10741291140.2,None
2017-11-24,'600694,大商股份,36.62,36.77,36.33,36.33,36.44,0.18,0.494,0.2466,724407,26515857.0,10755977072.9,10755977072.9,None
2017-11-23,'600694,大商股份,36.44,37.16,36.3,37.15,37.17,-0.73,-1.9639,0.475,1395176,51238350.0,10703107715.3,10703107715.3,None
2017-11-22,'600694,大商股份,37.17,37.49,36.8,37.09,36.9,0.27,0.7317,0.5083,1492868,55392044.0,10917522332.0,10917522332.0,None
2017-11-21,'600694,大商股份,36.9,37.19,36.78,37.07,37.09,-0.19,-0.5123,0.4801,1410066,52078114.0,10838218295.7,10838218295.7,None
2017-11-20,'600694,大商股份,37.09,37.14,36.6,36.78,36.72,0.37,1.0076,0.3798,1115438,41143821.0,10894024839.8,10894024839.8,None
2017-11-17,'600694,大商股份,36.72,37.77,36.52,37.63,37.62,-0.9,-2.3923,0.6622,1944992,72179388.0,10785348938.2,10785348938.2,None
2017-11-16,'600694,大商股份,37.62,38.02,37.56,37.99,38.0,-0.38,-1.0,0.3892,1143021,43187066.0,11049695725.9,11049695725.9,None
2017-11-15,'600694,大商股份,38.0,38.4,37.98,38.18,38.26,-0.26,-0.6796,0.3639,1068806,40864097.0,11161308814.0,11161308814.0,None
2017-11-14,'600694,大商股份,38.26,38.9,38.12,38.81,38.98,-0.72,-1.8471,0.6489,1906074,73264136.0,11237675663.8,11237675663.8,None
2017-11-13,'600694,大商股份,38.98,39.38,38.72,38.72,38.72,0.26,0.6715,0.7511,2206039,86322554.0,11449153093.9,11449153093.9,None
2017-11-10,'600694,大商股份,38.72,39.08,38.61,38.94,38.98,-0.26,-0.667,0.6698,1967375,76330976.0,11372786244.2,11372786244.2,None
