ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต,ณษฝปฑสสý
2017-12-29,'601007,ฝ๐ม๊ทนต๊,10.71,10.74,10.56,10.57,10.57,0.14,1.3245,0.3054,916059,9744802.0,3213000000.0,3213000000.0,None
2017-12-28,'601007,ฝ๐ม๊ทนต๊,10.57,10.6,10.47,10.47,10.51,0.06,0.5709,0.2737,821237,8673461.0,3171000000.0,3171000000.0,None
2017-12-27,'601007,ฝ๐ม๊ทนต๊,10.51,10.6,10.47,10.58,10.63,-0.12,-1.1289,0.3556,1066859,11220585.0,3153000000.0,3153000000.0,None
2017-12-26,'601007,ฝ๐ม๊ทนต๊,10.63,10.63,10.5,10.54,10.49,0.14,1.3346,0.4246,1273900,13462781.0,3189000000.0,3189000000.0,None
2017-12-25,'601007,ฝ๐ม๊ทนต๊,10.49,10.68,10.43,10.61,10.61,-0.12,-1.131,0.2258,677444,7131096.0,3147000000.0,3147000000.0,None
2017-12-22,'601007,ฝ๐ม๊ทนต๊,10.61,10.69,10.5,10.56,10.54,0.07,0.6641,0.3073,921937,9806136.0,3183000000.0,3183000000.0,None
2017-12-21,'601007,ฝ๐ม๊ทนต๊,10.54,10.67,10.46,10.61,10.66,-0.12,-1.1257,0.2157,647158,6835596.0,3162000000.0,3162000000.0,None
2017-12-20,'601007,ฝ๐ม๊ทนต๊,10.66,10.87,10.62,10.87,10.83,-0.17,-1.5697,0.2913,873941,9370245.0,3198000000.0,3198000000.0,None
2017-12-19,'601007,ฝ๐ม๊ทนต๊,10.83,10.91,10.79,10.88,10.84,-0.01,-0.0923,0.3761,1128335,12226638.0,3249000000.0,3249000000.0,None
2017-12-18,'601007,ฝ๐ม๊ทนต๊,10.84,10.86,10.76,10.83,10.82,0.02,0.1848,0.3577,1073001,11601168.0,3252000000.0,3252000000.0,None
2017-12-15,'601007,ฝ๐ม๊ทนต๊,10.82,10.87,10.65,10.65,10.7,0.12,1.1215,0.4271,1281351,13780185.0,3246000000.0,3246000000.0,None
2017-12-14,'601007,ฝ๐ม๊ทนต๊,10.7,10.75,10.64,10.75,10.74,-0.04,-0.3724,0.1522,456640,4878318.0,3210000000.0,3210000000.0,None
2017-12-13,'601007,ฝ๐ม๊ทนต๊,10.74,10.74,10.59,10.62,10.65,0.09,0.8451,0.2,600073,6405597.0,3222000000.0,3222000000.0,None
2017-12-12,'601007,ฝ๐ม๊ทนต๊,10.65,10.76,10.62,10.74,10.74,-0.09,-0.838,0.2781,834355,8925481.0,3195000000.0,3195000000.0,None
2017-12-11,'601007,ฝ๐ม๊ทนต๊,10.74,10.79,10.69,10.74,10.74,0.0,0.0,0.2483,744900,8000017.0,3222000000.0,3222000000.0,None
2017-12-08,'601007,ฝ๐ม๊ทนต๊,10.74,10.79,10.57,10.59,10.62,0.12,1.1299,0.419,1256880,13485328.0,3222000000.0,3222000000.0,None
2017-12-07,'601007,ฝ๐ม๊ทนต๊,10.62,10.65,10.45,10.5,10.5,0.12,1.1429,0.351,1052899,11126594.0,3186000000.0,3186000000.0,None
2017-12-06,'601007,ฝ๐ม๊ทนต๊,10.5,10.51,10.29,10.3,10.34,0.16,1.5474,0.3257,977081,10166012.0,3150000000.0,3150000000.0,None
2017-12-05,'601007,ฝ๐ม๊ทนต๊,10.34,10.75,10.29,10.68,10.69,-0.35,-3.2741,0.6101,1830448,19290785.0,3102000000.0,3102000000.0,None
2017-12-04,'601007,ฝ๐ม๊ทนต๊,10.69,10.8,10.65,10.8,10.7,-0.01,-0.0935,0.3795,1138350,12194262.0,3207000000.0,3207000000.0,None
2017-12-01,'601007,ฝ๐ม๊ทนต๊,10.7,10.77,10.6,10.65,10.64,0.06,0.5639,0.5041,1512247,16155195.0,3210000000.0,3210000000.0,None
2017-11-30,'601007,ฝ๐ม๊ทนต๊,10.64,10.7,10.32,10.4,10.36,0.28,2.7027,0.9512,2853747,30279274.0,3192000000.0,3192000000.0,None
2017-11-29,'601007,ฝ๐ม๊ทนต๊,10.36,10.41,10.29,10.37,10.35,0.01,0.0966,0.286,858100,8899123.0,3108000000.0,3108000000.0,None
2017-11-28,'601007,ฝ๐ม๊ทนต๊,10.35,10.36,10.21,10.22,10.2,0.15,1.4706,0.2884,865349,8922072.0,3105000000.0,3105000000.0,None
2017-11-27,'601007,ฝ๐ม๊ทนต๊,10.2,10.37,10.17,10.33,10.33,-0.13,-1.2585,0.3789,1136800,11670611.0,3060000000.0,3060000000.0,None
2017-11-24,'601007,ฝ๐ม๊ทนต๊,10.33,10.42,10.23,10.39,10.39,-0.06,-0.5775,0.3808,1142447,11790750.0,3099000000.0,3099000000.0,None
2017-11-23,'601007,ฝ๐ม๊ทนต๊,10.39,10.6,10.38,10.59,10.55,-0.16,-1.5166,0.3828,1148300,12030595.0,3117000000.0,3117000000.0,None
2017-11-22,'601007,ฝ๐ม๊ทนต๊,10.55,10.66,10.5,10.56,10.59,-0.04,-0.3777,0.4474,1342116,14177770.0,3165000000.0,3165000000.0,None
2017-11-21,'601007,ฝ๐ม๊ทนต๊,10.59,10.75,10.52,10.63,10.66,-0.07,-0.6567,0.406,1217982,12927196.0,3177000000.0,3177000000.0,None
2017-11-20,'601007,ฝ๐ม๊ทนต๊,10.66,10.7,10.4,10.62,10.69,-0.03,-0.2806,0.3516,1054938,11122119.0,3198000000.0,3198000000.0,None
2017-11-17,'601007,ฝ๐ม๊ทนต๊,10.69,11.1,10.65,11.05,11.05,-0.36,-3.2579,0.5734,1720253,18635140.0,3207000000.0,3207000000.0,None
2017-11-16,'601007,ฝ๐ม๊ทนต๊,11.05,11.2,11.04,11.13,11.15,-0.1,-0.8969,0.5203,1560897,17307326.0,3315000000.0,3315000000.0,None
2017-11-15,'601007,ฝ๐ม๊ทนต๊,11.15,11.27,11.12,11.23,11.23,-0.08,-0.7124,0.4212,1263500,14116214.0,3345000000.0,3345000000.0,None
2017-11-14,'601007,ฝ๐ม๊ทนต๊,11.23,11.63,11.16,11.62,11.5,-0.27,-2.3478,0.4834,1450205,16449120.0,3369000000.0,3369000000.0,None
2017-11-13,'601007,ฝ๐ม๊ทนต๊,11.5,11.63,11.45,11.53,11.54,-0.04,-0.3466,0.3586,1075749,12408713.0,3450000000.0,3450000000.0,None
2017-11-10,'601007,ฝ๐ม๊ทนต๊,11.54,11.65,11.42,11.57,11.52,0.02,0.1736,0.4694,1408105,16210772.0,3462000000.0,3462000000.0,None
