ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ,³É½»±ÊÊý
2017-12-29,'900918,Ò«Æ¤£Â¹É,0.624,0.625,0.621,0.623,0.623,0.001,0.1605,0.0549,102900,64043.0,3811971432.71,764501408.155,None
2017-12-28,'900918,Ò«Æ¤£Â¹É,0.623,0.626,0.62,0.621,0.622,0.001,0.1608,0.2055,385399,239643.0,3809939673.11,764093933.15,None
2017-12-27,'900918,Ò«Æ¤£Â¹É,0.622,0.628,0.622,0.628,0.625,-0.003,-0.48,0.0927,173900,108499.0,3804347566.13,762972420.638,None
2017-12-26,'900918,Ò«Æ¤£Â¹É,0.625,0.628,0.622,0.626,0.629,-0.004,-0.6359,0.1478,277212,173063.0,3822404348.11,766593758.177,None
2017-12-25,'900918,Ò«Æ¤£Â¹É,0.629,0.638,0.621,0.635,0.635,-0.006,-0.9449,0.1212,227300,142991.0,3862568996.87,774648889.513,None
2017-12-22,'900918,Ò«Æ¤£Â¹É,0.635,0.64,0.633,0.64,0.639,-0.004,-0.626,0.0484,90707,57667.0,3907606521.68,783681289.609,None
2017-12-21,'900918,Ò«Æ¤£Â¹É,0.639,0.643,0.632,0.637,0.641,-0.002,-0.312,0.0817,153157,97494.0,3930668096.36,788306352.159,None
2017-12-20,'900918,Ò«Æ¤£Â¹É,0.641,0.647,0.639,0.647,0.648,-0.007,-1.0802,0.0246,46200,29623.0,3959211177.43,794030745.97,None
2017-12-19,'900918,Ò«Æ¤£Â¹É,0.648,0.649,0.643,0.648,0.643,0.005,0.7776,0.0624,117081,75699.0,4004386134.9,803090708.566,None
2017-12-18,'900918,Ò«Æ¤£Â¹É,0.643,0.648,0.641,0.641,0.641,0.002,0.312,0.0527,98800,63827.0,3977335460.35,797665621.008,None
2017-12-15,'900918,Ò«Æ¤£Â¹É,0.641,0.647,0.636,0.646,0.646,-0.005,-0.774,0.0442,82929,53109.0,3962027799.07,794595627.226,None
2017-12-14,'900918,Ò«Æ¤£Â¹É,0.646,0.648,0.641,0.641,0.647,-0.001,-0.1546,0.0306,57301,36939.0,3988101205.86,799824721.031,None
2017-12-13,'900918,Ò«Æ¤£Â¹É,0.647,0.649,0.641,0.643,0.644,0.003,0.4658,0.0506,94788,60921.0,4007461354.33,803707452.323,None
2017-12-12,'900918,Ò«Æ¤£Â¹É,0.644,0.653,0.644,0.647,0.647,-0.003,-0.4637,0.0274,51300,33239.0,3983521052.04,798906158.522,None
2017-12-11,'900918,Ò«Æ¤£Â¹É,0.647,0.65,0.646,0.648,0.644,0.003,0.4658,0.0351,65900,42753.0,4001472936.43,802506458.56,None
2017-12-08,'900918,Ò«Æ¤£Â¹É,0.644,0.648,0.638,0.648,0.639,0.005,0.7825,0.0422,79100,50995.0,3986892733.35,799582358.529,None
2017-12-07,'900918,Ò«Æ¤£Â¹É,0.639,0.641,0.638,0.639,0.638,0.001,0.1567,0.0318,59700,38202.0,3954564551.08,793098852.21,None
2017-12-06,'900918,Ò«Æ¤£Â¹É,0.638,0.643,0.632,0.638,0.632,0.006,0.9494,0.1441,270200,171359.0,3946467149.51,791474895.942,None
2017-12-05,'900918,Ò«Æ¤£Â¹É,0.632,0.653,0.632,0.653,0.653,-0.021,-3.2159,0.1406,263600,169573.0,3906398703.61,783439058.357,None
2017-12-04,'900918,Ò«Æ¤£Â¹É,0.653,0.664,0.652,0.659,0.659,-0.006,-0.9105,0.1214,227700,150159.0,4035711526.2,809373102.383,None
2017-12-01,'900918,Ò«Æ¤£Â¹É,0.659,0.659,0.652,0.655,0.651,0.008,1.2289,0.05,93700,61407.0,4070451885.43,816340377.458,None
2017-11-30,'900918,Ò«Æ¤£Â¹É,0.651,0.658,0.647,0.655,0.655,-0.004,-0.6107,0.0761,142600,93036.0,4019029725.29,806027521.098,None
2017-11-29,'900918,Ò«Æ¤£Â¹É,0.655,0.655,0.649,0.65,0.65,0.005,0.7692,0.053,99400,64726.0,4042315773.32,810697602.397,None
2017-11-28,'900918,Ò«Æ¤£Â¹É,0.65,0.653,0.646,0.646,0.646,0.004,0.6192,0.0681,127700,82942.0,4007386841.52,803692508.573,None
