»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ,≥…Ωª±  ˝
2017-12-29,'000061,ª¶∆Û’Æ30,142.3381,142.3596,142.0999,142.1607,142.147,0.1911,0.1344,,30685,30183825.0,,,None
2017-12-28,'000061,ª¶∆Û’Æ30,142.147,142.2354,142.0692,142.072,142.0589,0.0881,0.062,,38432,37992882.0,,,None
2017-12-27,'000061,ª¶∆Û’Æ30,142.0589,142.2649,142.0241,142.2564,142.2428,-0.1839,-0.1293,,67579,65186846.0,,,None
2017-12-26,'000061,ª¶∆Û’Æ30,142.2428,142.2599,142.2103,142.24,142.2263,0.0165,0.0116,,119788,116624320.0,,,None
2017-12-25,'000061,ª¶∆Û’Æ30,142.2263,142.2263,142.1848,142.1943,142.1534,0.0729,0.0513,,201438,196255133.0,,,None
2017-12-22,'000061,ª¶∆Û’Æ30,142.1534,142.1537,142.0521,142.0832,142.0696,0.0838,0.059,,378127,364755442.0,,,None
2017-12-21,'000061,ª¶∆Û’Æ30,142.0696,142.0719,141.9394,142.0647,142.0513,0.0183,0.0129,,283547,278237099.0,,,None
2017-12-20,'000061,ª¶∆Û’Æ30,142.0513,142.1415,142.0434,142.1324,142.1182,-0.0669,-0.0471,,116323,113560029.0,,,None
2017-12-19,'000061,ª¶∆Û’Æ30,142.1182,142.1201,141.8416,141.8533,141.8397,0.2785,0.1963,,243240,235749797.0,,,None
2017-12-18,'000061,ª¶∆Û’Æ30,141.8397,141.8558,141.8291,141.8315,141.791,0.0487,0.0343,,190992,185766731.0,,,None
2017-12-15,'000061,ª¶∆Û’Æ30,141.791,141.8759,141.2963,141.8717,141.8579,-0.0669,-0.0472,,142213,139773237.0,,,None
2017-12-14,'000061,ª¶∆Û’Æ30,141.8579,141.8585,141.7673,141.7934,141.7808,0.0771,0.0544,,430313,417105610.0,,,None
2017-12-13,'000061,ª¶∆Û’Æ30,141.7808,142.1807,141.7726,142.1778,142.1643,-0.3835,-0.2698,,309145,288214444.0,,,None
2017-12-12,'000061,ª¶∆Û’Æ30,142.1643,142.2116,142.1498,142.2041,142.1905,-0.0262,-0.0184,,338101,321162390.0,,,None
2017-12-11,'000061,ª¶∆Û’Æ30,142.1905,142.2173,142.1733,142.2173,142.1767,0.0138,0.0097,,260846,249256422.0,,,None
2017-12-08,'000061,ª¶∆Û’Æ30,142.1767,142.1875,142.13,142.1875,142.1738,0.0029,0.002,,186218,180631143.0,,,None
2017-12-07,'000061,ª¶∆Û’Æ30,142.1738,142.1741,141.9962,142.1401,142.1266,0.0472,0.0332,,421057,407125267.0,,,None
2017-12-06,'000061,ª¶∆Û’Æ30,142.1266,142.1843,142.1036,142.1792,142.1656,-0.039,-0.0274,,354961,340989814.0,,,None
2017-12-05,'000061,ª¶∆Û’Æ30,142.1656,142.2041,142.101,142.204,142.1905,-0.0249,-0.0175,,406240,392439942.0,,,None
2017-12-04,'000061,ª¶∆Û’Æ30,142.1905,142.2043,142.1809,142.1911,142.1504,0.0401,0.0282,,266319,258484428.0,,,None
2017-12-01,'000061,ª¶∆Û’Æ30,142.1504,142.1513,142.0382,142.0723,142.0588,0.0916,0.0645,,106247,103508372.0,,,None
2017-11-30,'000061,ª¶∆Û’Æ30,142.0588,142.1295,141.9173,142.125,142.1115,-0.0527,-0.0371,,313505,302602893.0,,,None
2017-11-29,'000061,ª¶∆Û’Æ30,142.1115,142.1174,142.1027,142.1153,142.1017,0.0098,0.0069,,146141,142130795.0,,,None
2017-11-28,'000061,ª¶∆Û’Æ30,142.1017,142.1204,142.0862,142.109,142.0954,0.0063,0.0044,,174465,173303113.0,,,None
2017-11-27,'000061,ª¶∆Û’Æ30,142.0954,142.0954,142.0149,142.079,142.0384,0.057,0.0401,,106393,104614874.0,,,None
2017-11-24,'000061,ª¶∆Û’Æ30,142.0384,142.039,142.0037,142.0267,142.0131,0.0253,0.0178,,172165,167950368.0,,,None
2017-11-23,'000061,ª¶∆Û’Æ30,142.0131,142.0202,141.9968,142.0202,142.0067,0.0064,0.0045,,147314,144289579.0,,,None
2017-11-22,'000061,ª¶∆Û’Æ30,142.0067,142.032,142.0024,142.0306,142.0172,-0.0105,-0.0074,,97160,95094247.0,,,None
2017-11-21,'000061,ª¶∆Û’Æ30,142.0172,142.0529,142.0065,142.0529,142.0393,-0.0221,-0.0156,,243200,236647047.0,,,None
2017-11-20,'000061,ª¶∆Û’Æ30,142.0393,142.0568,142.0256,142.05,142.0093,0.03,0.0211,,163534,159341093.0,,,None
2017-11-17,'000061,ª¶∆Û’Æ30,142.0093,142.0189,141.9638,141.9703,141.9568,0.0525,0.037,,137523,133648723.0,,,None
2017-11-16,'000061,ª¶∆Û’Æ30,141.9568,142.0156,141.9418,141.9922,141.9787,-0.0219,-0.0154,,233091,228189108.0,,,None
2017-11-15,'000061,ª¶∆Û’Æ30,141.9787,142.0226,141.9598,142.0226,142.0091,-0.0304,-0.0214,,255438,246830288.0,,,None
2017-11-14,'000061,ª¶∆Û’Æ30,142.0091,142.0633,142.0012,142.0514,142.0379,-0.0288,-0.0203,,261649,250027965.0,,,None
2017-11-13,'000061,ª¶∆Û’Æ30,142.0379,142.129,142.0314,142.1053,142.0648,-0.0269,-0.0189,,150991,146491222.0,,,None
2017-11-10,'000061,ª¶∆Û’Æ30,142.0648,142.086,141.8778,142.086,142.0724,-0.0076,-0.0053,,153550,149926463.0,,,None
2017-11-09,'000061,ª¶∆Û’Æ30,142.0724,142.073,141.9036,141.9675,141.954,0.1184,0.0834,,345302,337582934.0,,,None
2017-11-08,'000061,ª¶∆Û’Æ30,141.954,142.0039,141.9103,141.9864,141.9729,-0.0189,-0.0133,,454322,442658342.0,,,None
2017-11-07,'000061,ª¶∆Û’Æ30,141.9729,141.9736,141.9026,141.9061,141.8926,0.0803,0.0566,,432441,423981383.0,,,None
2017-11-06,'000061,ª¶∆Û’Æ30,141.8926,141.9037,141.8041,141.8812,141.8407,0.0519,0.0366,,254843,249580518.0,,,None
2017-11-03,'000061,ª¶∆Û’Æ30,141.8407,141.9108,141.7483,141.8498,141.8363,0.0044,0.0031,,291702,281743182.0,,,None
2017-11-02,'000061,ª¶∆Û’Æ30,141.8363,141.8418,141.7551,141.7636,141.7501,0.0862,0.0608,,339538,331251520.0,,,None
2017-11-01,'000061,ª¶∆Û’Æ30,141.7501,141.8222,141.6592,141.7063,141.6927,0.0574,0.0405,,404557,390877256.0,,,None
2017-10-31,'000061,ª¶∆Û’Æ30,141.6927,141.7398,141.6847,141.7297,141.7165,-0.0238,-0.0168,,147718,143616532.0,,,None
2017-10-30,'000061,ª¶∆Û’Æ30,141.7165,141.8335,141.6447,141.8335,141.7932,-0.0767,-0.0541,,107244,104160736.0,,,None
2017-10-27,'000061,ª¶∆Û’Æ30,141.7932,141.8254,141.7565,141.8254,141.812,-0.0188,-0.0133,,178948,172272907.0,,,None
