日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2017-12-29,'000070,能源等权,2662.7792,2672.8933,2651.2452,2672.8398,2674.5511,-11.7719,-0.4401,,6365566,5232513865.0,,,None
2017-12-28,'000070,能源等权,2674.5511,2685.2242,2625.4561,2634.5232,2650.3898,24.1613,0.9116,,11224649,9516789064.0,,,None
2017-12-27,'000070,能源等权,2650.3898,2692.3845,2623.6019,2625.3555,2629.1599,21.2299,0.8075,,12086420,10089702844.0,,,None
2017-12-26,'000070,能源等权,2629.1599,2630.0692,2584.4415,2604.3236,2609.9906,19.1693,0.7345,,7184442,5761362273.0,,,None
2017-12-25,'000070,能源等权,2609.9906,2650.0625,2608.9919,2649.1447,2646.3105,-36.3199,-1.3725,,8647971,7012241782.0,,,None
2017-12-22,'000070,能源等权,2646.3105,2662.169,2596.5281,2600.7347,2596.6552,49.6553,1.9123,,9812831,7624484887.0,,,None
2017-12-21,'000070,能源等权,2596.6552,2599.3163,2560.3179,2590.8754,2599.5461,-2.8909,-0.1112,,6653652,4977010340.0,,,None
2017-12-20,'000070,能源等权,2599.5461,2626.3172,2586.8672,2601.3387,2606.2812,-6.7351,-0.2584,,8584296,6410205435.0,,,None
2017-12-19,'000070,能源等权,2606.2812,2610.9221,2582.0327,2594.4999,2597.1374,9.1438,0.3521,,8128749,6441592175.0,,,None
2017-12-18,'000070,能源等权,2597.1374,2598.8239,2543.1017,2547.6597,2538.9182,58.2192,2.2931,,8917586,6892141275.0,,,None
2017-12-15,'000070,能源等权,2538.9182,2562.4066,2527.7906,2562.4066,2564.8634,-25.9452,-1.0116,,6011950,4142111550.0,,,None
2017-12-14,'000070,能源等权,2564.8634,2577.0016,2553.6155,2562.5336,2566.7409,-1.8775,-0.0731,,6275759,4306650261.0,,,None
2017-12-13,'000070,能源等权,2566.7409,2568.1404,2545.1303,2551.0321,2555.9984,10.7425,0.4203,,4955224,3583290199.0,,,None
2017-12-12,'000070,能源等权,2555.9984,2589.5188,2554.3974,2589.5188,2592.1333,-36.1349,-1.394,,6078888,4472695219.0,,,None
2017-12-11,'000070,能源等权,2592.1333,2592.6237,2574.3943,2588.6806,2580.8058,11.3275,0.4389,,6310086,4672833757.0,,,None
2017-12-08,'000070,能源等权,2580.8058,2584.1201,2536.9319,2549.7009,2557.9127,22.8931,0.895,,6396035,4999515326.0,,,None
2017-12-07,'000070,能源等权,2557.9127,2604.6936,2556.7583,2594.1664,2616.6975,-58.7848,-2.2465,,7542037,5934395521.0,,,None
2017-12-06,'000070,能源等权,2616.6975,2617.2136,2560.6867,2587.5569,2600.3379,16.3596,0.6291,,9123820,6830002397.0,,,None
2017-12-05,'000070,能源等权,2600.3379,2660.1402,2587.1969,2660.1402,2670.4517,-70.1138,-2.6255,,10668690,8540944833.0,,,None
2017-12-04,'000070,能源等权,2670.4517,2728.5489,2664.7733,2706.7791,2688.214,-17.7623,-0.6607,,8233128,6620264194.0,,,None
2017-12-01,'000070,能源等权,2688.214,2689.3105,2660.2562,2687.0966,2692.1438,-3.9298,-0.146,,6790756,6039168333.0,,,None
2017-11-30,'000070,能源等权,2692.1438,2725.6119,2686.7558,2704.9289,2699.2615,-7.1177,-0.2637,,8460430,7660630267.0,,,None
2017-11-29,'000070,能源等权,2699.2615,2705.4915,2648.7468,2655.8997,2663.1138,36.1477,1.3573,,10663983,9684595728.0,,,None
2017-11-28,'000070,能源等权,2663.1138,2663.7156,2589.6841,2603.126,2613.9663,49.1475,1.8802,,8623641,7181235243.0,,,None
2017-11-27,'000070,能源等权,2613.9663,2658.294,2607.6264,2639.778,2640.854,-26.8877,-1.0181,,8089157,6825145103.0,,,None
2017-11-24,'000070,能源等权,2640.854,2645.5972,2572.6798,2592.9725,2606.9377,33.9163,1.301,,8145272,7124777064.0,,,None
2017-11-23,'000070,能源等权,2606.9377,2678.8987,2606.2051,2661.0693,2650.5307,-43.593,-1.6447,,10611521,9680862478.0,,,None
2017-11-22,'000070,能源等权,2650.5307,2651.976,2604.3077,2628.6012,2610.2778,40.2529,1.5421,,9988369,8813231285.0,,,None
2017-11-21,'000070,能源等权,2610.2778,2637.3402,2595.7215,2614.849,2621.629,-11.3512,-0.433,,7765117,7018148242.0,,,None
2017-11-20,'000070,能源等权,2621.629,2622.204,2534.1454,2589.9591,2604.9025,16.7265,0.6421,,7250617,6096532280.0,,,None
2017-11-17,'000070,能源等权,2604.9025,2688.828,2591.1761,2676.7891,2677.0368,-72.1343,-2.6946,,11034182,9151165293.0,,,None
2017-11-16,'000070,能源等权,2677.0368,2713.9714,2676.4062,2703.5924,2711.6877,-34.6509,-1.2778,,6498923,5599359713.0,,,None
2017-11-15,'000070,能源等权,2711.6877,2731.781,2707.5629,2731.3944,2756.4949,-44.8072,-1.6255,,8980435,7626369426.0,,,None
2017-11-14,'000070,能源等权,2756.4949,2785.0004,2750.0126,2754.5193,2757.8315,-1.3366,-0.0485,,9860690,9328933066.0,,,None
2017-11-13,'000070,能源等权,2757.8315,2758.6825,2709.0169,2717.8236,2726.9221,30.9094,1.1335,,8898411,7845346727.0,,,None
2017-11-10,'000070,能源等权,2726.9221,2755.1073,2720.1284,2753.6766,2769.8599,-42.9378,-1.5502,,8393177,6907582779.0,,,None
2017-11-09,'000070,能源等权,2769.8599,2800.3344,2755.6014,2762.8746,2750.7877,19.0722,0.6933,,8808205,8142167536.0,,,None
2017-11-08,'000070,能源等权,2750.7877,2763.3232,2730.3922,2740.0084,2754.3285,-3.5408,-0.1286,,9507754,7700478811.0,,,None
2017-11-07,'000070,能源等权,2754.3285,2757.4971,2690.8904,2695.0571,2693.7959,60.5326,2.2471,,13454142,10089389546.0,,,None
2017-11-06,'000070,能源等权,2693.7959,2694.5851,2640.4193,2665.2451,2663.028,30.7679,1.1554,,7645231,5766727929.0,,,None
2017-11-03,'000070,能源等权,2663.028,2695.8478,2645.2016,2694.3642,2705.3343,-42.3063,-1.5638,,8369024,6361763568.0,,,None
2017-11-02,'000070,能源等权,2705.3343,2741.1534,2704.1631,2723.0858,2716.5006,-11.1663,-0.4111,,6602633,5370846881.0,,,None
2017-11-01,'000070,能源等权,2716.5006,2724.1192,2708.4278,2712.9446,2715.3867,1.1139,0.041,,7937982,6218510132.0,,,None
2017-10-31,'000070,能源等权,2715.3867,2720.0599,2679.2921,2680.1852,2695.1463,20.2404,0.751,,5712216,4682455978.0,,,None
2017-10-30,'000070,能源等权,2695.1463,2763.337,2677.9138,2763.337,2773.6054,-78.4591,-2.8288,,9045853,7067060822.0,,,None
2017-10-27,'000070,能源等权,2773.6054,2811.2546,2769.0744,2810.3793,2815.3574,-41.752,-1.483,,5803861,5251974680.0,,,None
2017-10-26,'000070,能源等权,2815.3574,2817.8215,2783.6766,2787.437,2782.6939,32.6635,1.1738,,6654314,6087679674.0,,,None
2017-10-25,'000070,能源等权,2782.6939,2788.7981,2768.1002,2768.1002,2772.8996,9.7943,0.3532,,4039848,3557431653.0,,,None
2017-10-24,'000070,能源等权,2772.8996,2781.1594,2758.5511,2766.5324,2772.9356,-0.036,-0.0013,,5014648,4243919135.0,,,None
2017-10-23,'000070,能源等权,2772.9356,2773.3862,2743.7309,2760.362,2767.7357,5.1999,0.1879,,3887915,3362155806.0,,,None
2017-10-20,'000070,能源等权,2767.7357,2768.9939,2726.0056,2726.0056,2729.8338,37.9019,1.3884,,3949296,3350269809.0,,,None
2017-10-19,'000070,能源等权,2729.8338,2766.7925,2723.3432,2764.3457,2779.4279,-49.5941,-1.7843,,6438495,5199501871.0,,,None
